Starting repair of incorrectly deleted driveAssets...
[REPAIRED] driveAsset asset-3dss-H6tw0erX5YVzVXoC1Fb5 for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-K6KS5aezHCdhGCF9DHWG for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-cdpHXWdQV8iMWuyFLtR2 for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-xcwKYm1RDAAJM02Ouzby for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-z1q7CtWWGpS0ARFxTT7U for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-zK3AhMx3O6BHOJZRCryA for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-zUa9n6uTjmQUkXvhf066 for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-0052b495-4cf6-42be-b597-ea83340a86c9 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-11f24d7e-65ca-42be-a170-bb6a58fedeca for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-1ae03678-6281-4b27-8a3b-c403ff1b9272 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-4b10b78e-0892-4bb8-bca5-2d9af7147ec2 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-789807ed-fbf2-4044-83e5-b873ffbe2629 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-7d197ab5-9cfe-487e-b2fe-74c0a1edd683 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-8082faed-655a-406e-bb4f-6fdecbd433f3 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-8a5792e3-5e9f-4aa3-8547-cf070f63f982 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-a4f5cec0-1edc-4474-a6bc-3b0a03d73ce0 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-ae1c7f76-f45a-4aa0-80d9-80e3b014390a for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-c84c09d2-6ebe-4f9d-8173-89ac0136455f for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-cec17fdb-0686-4a5e-b7fb-69223905ac80 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-d87d6a12-0ad6-4478-b5cd-22eab934e66f for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-de2b5de9-790b-4733-8a5e-c4c5e4d5702e for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-e635b9c7-11ee-40c6-a1c1-544a98f78e85 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-e9422765-57d4-44f7-adf2-06bbcd428366 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-eb549a1f-4713-4926-b77f-e5df08418d0f for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2
[REPAIRED] driveAsset asset-3dss-f948dcb5-bbc8-457e-ba2f-1163bcbf8ab8 for user ydMdVQlOKYZMOrnIU4vqmlCg1ls2

Repair complete! Scanned 52 deleted 3DSS assets, repaired 52 assets.
